text,label
Your data will not be shared without your explicit consent.,0
We may share anonymized information with third-party vendors.,1
We respect your privacy and will not share your data with anyone.,0
We collect your personal data to improve our services.,1
We may use your browsing history for personalized recommendations.,2
We will sell your data to advertisers.,3
We may collect your data for improving user experience.,1
However your browsing activity might be used for personalized recommendations.,2
Your data will never be sold to third parties.,0
We reserve the right to use your data for targeted marketing.,3
Your personal information might be shared with our affiliates.,2
Your activity data will be shared with advertisers.,3
